date,region,product,sales,units
2024-01-05,West,Product A,12500,120
2024-01-12,East,Product B,8200,95
2024-01-18,West,Product A,14200,135
2024-02-03,North,Product C,5600,70
2024-02-14,West,Product B,9800,110
2024-02-22,East,Product A,11000,105
2024-03-01,South,Product C,4300,55
2024-03-10,West,Product A,15800,150
2024-03-18,East,Product B,7600,88
2024-04-02,North,Product A,9200,90
2024-04-15,West,Product C,5100,62
2024-04-28,East,Product A,10500,100
2024-05-05,South,Product B,6800,80
2024-05-20,West,Product A,16200,155
2024-06-01,East,Product C,4900,58
2024-06-12,North,Product B,8700,92
2024-06-25,West,Product A,14800,140
2024-07-08,East,Product A,9900,94
2024-07-19,South,Product C,5200,64
2024-08-02,West,Product B,11200,125
2024-08-16,East,Product A,10100,96
2024-09-01,North,Product A,8800,85
2024-09-14,West,Product A,13900,132
2024-09-28,East,Product B,7200,84
2024-10-10,South,Product C,4700,60
2024-10-22,West,Product A,13100,125
2024-11-05,East,Product A,9400,90
2024-11-18,North,Product B,8100,86
2024-12-01,West,Product A,11800,112
2024-12-15,East,Product C,4500,52
2024-12-28,South,Product A,8900,88
